MapName,Scenario,Connectivity,Algorithm,Weight,TaskID,Success,PathLength,OptimalLength,ExpandedNodes,TimeMS,Suboptimality
maze512-1-0.map,maze512-1-0.map.scen,4,BFS,1.0,0,True,2.0000,2.0,4,0.0215,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,BFS,1.0,1,True,2.0000,2.0,5,0.0098,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,BFS,1.0,2,True,3.0000,3.0,7,0.0107,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,BFS,1.0,3,True,2.0000,2.0,5,0.0079,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,BFS,1.0,4,True,1.0000,1.0,3,0.0068,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,BFS,1.0,5,True,2.0000,2.0,5,0.0076,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,BFS,1.0,6,True,1.0000,1.0,3,0.0049,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,BFS,1.0,7,True,3.0000,3.0,6,0.0101,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,BFS,1.0,8,True,0.0000,0.0,1,0.0014,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,BFS,1.0,9,True,1.0000,1.0,3,0.0058,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,Dijkstra,1.0,0,True,2.0000,2.0,4,0.0088,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,Dijkstra,1.0,1,True,2.0000,2.0,5,0.0202,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,Dijkstra,1.0,2,True,3.0000,3.0,7,0.0125,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,Dijkstra,1.0,3,True,2.0000,2.0,5,0.0103,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,Dijkstra,1.0,4,True,1.0000,1.0,3,0.0062,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,Dijkstra,1.0,5,True,2.0000,2.0,5,0.0105,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,Dijkstra,1.0,6,True,1.0000,1.0,3,0.0062,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,Dijkstra,1.0,7,True,3.0000,3.0,6,0.0118,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,Dijkstra,1.0,8,True,0.0000,0.0,1,0.0016,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,Dijkstra,1.0,9,True,1.0000,1.0,3,0.0074,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,A* (Octile),1.0,0,True,2.0000,2.0,3,0.0076,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,A* (Octile),1.0,1,True,2.0000,2.0,3,0.0087,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,A* (Octile),1.0,2,True,3.0000,3.0,4,0.0084,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,A* (Octile),1.0,3,True,2.0000,2.0,3,0.0067,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,A* (Octile),1.0,4,True,1.0000,1.0,2,0.0049,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,A* (Octile),1.0,5,True,2.0000,2.0,3,0.0080,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,A* (Octile),1.0,6,True,1.0000,1.0,2,0.0049,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,A* (Octile),1.0,7,True,3.0000,3.0,4,0.0085,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,A* (Octile),1.0,8,True,0.0000,0.0,1,0.0018,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,A* (Octile),1.0,9,True,1.0000,1.0,2,0.0048,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x2.0),2.0,0,True,2.0000,2.0,3,0.0067,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x2.0),2.0,1,True,2.0000,2.0,3,0.0091,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x2.0),2.0,2,True,3.0000,3.0,4,0.0083,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x2.0),2.0,3,True,2.0000,2.0,3,0.0068,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x2.0),2.0,4,True,1.0000,1.0,2,0.0049,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x2.0),2.0,5,True,2.0000,2.0,3,0.0081,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x2.0),2.0,6,True,1.0000,1.0,2,0.0049,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x2.0),2.0,7,True,3.0000,3.0,4,0.0086,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x2.0),2.0,8,True,0.0000,0.0,1,0.0017,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x2.0),2.0,9,True,1.0000,1.0,2,0.0048,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x10.0),10.0,0,True,2.0000,2.0,3,0.0068,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x10.0),10.0,1,True,2.0000,2.0,3,0.0087,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x10.0),10.0,2,True,3.0000,3.0,4,0.0129,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x10.0),10.0,3,True,2.0000,2.0,3,0.0068,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x10.0),10.0,4,True,1.0000,1.0,2,0.0048,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x10.0),10.0,5,True,2.0000,2.0,3,0.0081,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x10.0),10.0,6,True,1.0000,1.0,2,0.0049,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x10.0),10.0,7,True,3.0000,3.0,4,0.0084,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x10.0),10.0,8,True,0.0000,0.0,1,0.0017,0.00
maze512-1-0.map,maze512-1-0.map.scen,4,WA* (x10.0),10.0,9,True,1.0000,1.0,2,0.0048,0.00
maze512-1-0.map,maze512-1-0.map.scen,8,BFS,1.0,0,True,2.0000,2.0,4,0.0062,0.00
maze512-1-0.map,maze512-1-0.map.scen,8,BFS,1.0,1,True,2.0000,2.0,5,0.0083,0.00
maze512-1-0.map,maze512-1-0.map.scen,8,BFS,1.0,2,True,3.0000,3.0,7,0.0097,0.00
maze512-1-0.map,maze512-1-0.map.scen,8,BFS,1.0,3,True,2.0000,2.0,5,0.0083,0.00
