MapName,Scenario,Connectivity,Algorithm,Weight,TaskID,Success,PathLength,OptimalLength,ExpandedNodes,TimeMS,Suboptimality
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,0,True,3.0000,2.41421356,18,0.0314,24.26
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,1,True,2.0000,1.41421356,8,0.0124,41.42
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,2,True,1.0000,1.0,2,0.0039,0.00
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,3,True,4.0000,3.41421356,22,0.0275,17.16
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,4,True,3.0000,2.41421356,15,0.0181,24.26
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,5,True,1.0000,1.0,2,0.0039,0.00
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,6,True,1.0000,1.0,4,0.0067,0.00
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,7,True,3.0000,2.41421356,15,0.0197,24.26
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,8,True,2.0000,1.41421356,7,0.0108,41.42
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,9,True,1.0000,1.0,3,0.0042,0.00
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,10,True,6.0000,5.41421356,52,0.0628,10.82
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,11,True,7.0000,5.24264069,46,0.0492,33.52
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,12,True,6.0000,6.0,42,0.0457,0.00
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,13,True,8.0000,6.82842712,66,0.0897,17.16
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,14,True,7.0000,6.41421356,75,0.1095,9.13
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,15,True,8.0000,7.41421356,88,0.0967,7.90
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,16,True,8.0000,6.82842712,78,0.0847,17.16
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,17,True,7.0000,7.0,23,0.0234,0.00
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,18,True,9.0000,7.24264069,70,0.0768,24.26
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,19,True,4.0000,4.0,27,0.0327,0.00
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,20,True,9.0000,9.0,41,0.0410,0.00
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,21,True,12.0000,11.41421356,105,0.1102,5.13
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,22,True,12.0000,11.41421356,93,0.1002,5.13
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,23,True,12.0000,9.07106781,82,0.1070,32.29
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,24,True,12.0000,10.24264069,130,0.1666,17.16
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,25,True,14.0000,10.48528137,140,0.1557,33.52
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,26,True,11.0000,9.24264069,81,0.0848,19.01
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,27,True,11.0000,9.24264069,100,0.1045,19.01
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,28,True,10.0000,8.24264069,94,0.0962,21.32
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,29,True,8.0000,8.0,63,0.0703,0.00
maze512-4-9.map,maze512-4-9.map.scen,4,BFS,1.0,30,True,16.0000,13.65685425,106,0.1212,17.16
