MapName,Scenario,Connectivity,Algorithm,Weight,TaskID,Success,PathLength,OptimalLength,ExpandedNodes,TimeMS,Suboptimality
maze_simple.map,maze_simple.map.scen,4,BFS,1.0,0,True,16.0000,10.0,17,0.0255,60.00
maze_simple.map,maze_simple.map.scen,4,Dijkstra,1.0,0,True,16.0000,10.0,17,0.0224,60.00
maze_simple.map,maze_simple.map.scen,4,A* (Manhattan),1.0,0,True,16.0000,10.0,17,0.0211,60.00
maze_simple.map,maze_simple.map.scen,4,A* (Euclid),1.0,0,True,16.0000,10.0,17,0.0216,60.00
maze_simple.map,maze_simple.map.scen,4,A* (Octile),1.0,0,True,16.0000,10.0,17,0.0204,60.00
maze_simple.map,maze_simple.map.scen,4,WA* (x1.5),1.5,0,True,16.0000,10.0,17,0.0209,60.00
maze_simple.map,maze_simple.map.scen,4,WA* (x2.0),2.0,0,True,16.0000,10.0,17,0.0211,60.00
maze_simple.map,maze_simple.map.scen,8,BFS,1.0,0,True,16.0000,10.0,17,0.0168,60.00
maze_simple.map,maze_simple.map.scen,8,Dijkstra,1.0,0,True,16.0000,10.0,17,0.0212,60.00
maze_simple.map,maze_simple.map.scen,8,A* (Manhattan),1.0,0,True,16.0000,10.0,17,0.0204,60.00
maze_simple.map,maze_simple.map.scen,8,A* (Euclid),1.0,0,True,16.0000,10.0,17,0.0211,60.00
maze_simple.map,maze_simple.map.scen,8,A* (Octile),1.0,0,True,16.0000,10.0,17,0.0216,60.00
maze_simple.map,maze_simple.map.scen,8,WA* (x1.5),1.5,0,True,16.0000,10.0,17,0.0211,60.00
maze_simple.map,maze_simple.map.scen,8,WA* (x2.0),2.0,0,True,16.0000,10.0,17,0.0220,60.00
1.map,1.scen,4,BFS,1.0,0,True,8.0000,5.0,25,0.0270,60.00
1.map,1.scen,4,BFS,1.0,1,True,4.0000,5.0,15,0.0164,-20.00
1.map,1.scen,4,Dijkstra,1.0,0,True,8.0000,5.0,25,0.0377,60.00
1.map,1.scen,4,Dijkstra,1.0,1,True,4.0000,5.0,12,0.0211,-20.00
1.map,1.scen,4,A* (Manhattan),1.0,0,True,8.0000,5.0,20,0.0340,60.00
1.map,1.scen,4,A* (Manhattan),1.0,1,True,4.0000,5.0,5,0.0102,-20.00
1.map,1.scen,4,A* (Euclid),1.0,0,True,8.0000,5.0,22,0.0358,60.00
1.map,1.scen,4,A* (Euclid),1.0,1,True,4.0000,5.0,5,0.0103,-20.00
