MapName,Scenario,Connectivity,Algorithm,Weight,TaskID,Success,PathLength,OptimalLength,ExpandedNodes,TimeMS,Suboptimality
maze_simple.map,maze_simple.map.scen,4,BFS,1.0,0,True,16.0000,10.0,17,0.0246,60.00
maze_simple.map,maze_simple.map.scen,4,Dijkstra,1.0,0,True,16.0000,10.0,17,0.0299,60.00
maze_simple.map,maze_simple.map.scen,4,A* (Manhattan),1.0,0,True,16.0000,10.0,17,0.0240,60.00
maze_simple.map,maze_simple.map.scen,4,A* (Euclid),1.0,0,True,16.0000,10.0,17,0.0240,60.00
maze_simple.map,maze_simple.map.scen,4,A* (Octile),1.0,0,True,16.0000,10.0,17,0.0228,60.00
maze_simple.map,maze_simple.map.scen,4,WA* (x1.5),1.5,0,True,16.0000,10.0,17,0.0226,60.00
maze_simple.map,maze_simple.map.scen,4,WA* (x2.0),2.0,0,True,16.0000,10.0,17,0.0225,60.00
maze_simple.map,maze_simple.map.scen,8,BFS,1.0,0,True,16.0000,10.0,17,0.0186,60.00
maze_simple.map,maze_simple.map.scen,8,Dijkstra,1.0,0,True,16.0000,10.0,17,0.0237,60.00
maze_simple.map,maze_simple.map.scen,8,A* (Manhattan),1.0,0,True,16.0000,10.0,17,0.0238,60.00
maze_simple.map,maze_simple.map.scen,8,A* (Euclid),1.0,0,True,16.0000,10.0,17,0.0234,60.00
maze_simple.map,maze_simple.map.scen,8,A* (Octile),1.0,0,True,16.0000,10.0,17,0.0233,60.00
maze_simple.map,maze_simple.map.scen,8,WA* (x1.5),1.5,0,True,16.0000,10.0,17,0.0229,60.00
maze_simple.map,maze_simple.map.scen,8,WA* (x2.0),2.0,0,True,16.0000,10.0,17,0.0231,60.00
1.map,1.scen,4,BFS,1.0,0,True,8.0000,5.0,25,0.0426,60.00
1.map,1.scen,4,BFS,1.0,1,True,4.0000,5.0,15,0.0253,-20.00
1.map,1.scen,4,Dijkstra,1.0,0,True,8.0000,5.0,25,0.0417,60.00
1.map,1.scen,4,Dijkstra,1.0,1,True,4.0000,5.0,12,0.0236,-20.00
1.map,1.scen,4,A* (Manhattan),1.0,0,True,8.0000,5.0,20,0.0373,60.00
1.map,1.scen,4,A* (Manhattan),1.0,1,True,4.0000,5.0,5,0.0110,-20.00
1.map,1.scen,4,A* (Euclid),1.0,0,True,8.0000,5.0,22,0.0391,60.00
1.map,1.scen,4,A* (Euclid),1.0,1,True,4.0000,5.0,5,0.0111,-20.00
1.map,1.scen,4,A* (Octile),1.0,0,True,8.0000,5.0,22,0.0392,60.00
1.map,1.scen,4,A* (Octile),1.0,1,True,4.0000,5.0,5,0.0109,-20.00
1.map,1.scen,4,WA* (x1.5),1.5,0,True,8.0000,5.0,9,0.0219,60.00
1.map,1.scen,4,WA* (x1.5),1.5,1,True,4.0000,5.0,5,0.0111,-20.00
1.map,1.scen,4,WA* (x2.0),2.0,0,True,8.0000,5.0,9,0.0213,60.00
1.map,1.scen,4,WA* (x2.0),2.0,1,True,4.0000,5.0,5,0.0110,-20.00
1.map,1.scen,8,BFS,1.0,0,True,4.0000,5.0,25,0.0330,-20.00
1.map,1.scen,8,BFS,1.0,1,True,4.0000,5.0,21,0.0289,-20.00
1.map,1.scen,8,Dijkstra,1.0,0,True,5.6569,5.0,25,0.0577,13.14
1.map,1.scen,8,Dijkstra,1.0,1,True,4.0000,5.0,16,0.0413,-20.00
1.map,1.scen,8,A* (Manhattan),1.0,0,True,5.6569,5.0,5,0.0209,13.14
1.map,1.scen,8,A* (Manhattan),1.0,1,True,4.0000,5.0,5,0.0134,-20.00
1.map,1.scen,8,A* (Euclid),1.0,0,True,5.6569,5.0,5,0.0199,13.14
1.map,1.scen,8,A* (Euclid),1.0,1,True,4.0000,5.0,5,0.0139,-20.00
1.map,1.scen,8,A* (Octile),1.0,0,True,5.6569,5.0,5,0.0203,13.14
1.map,1.scen,8,A* (Octile),1.0,1,True,4.0000,5.0,5,0.0130,-20.00
1.map,1.scen,8,WA* (x1.5),1.5,0,True,5.6569,5.0,5,0.0198,13.14
1.map,1.scen,8,WA* (x1.5),1.5,1,True,4.0000,5.0,5,0.0134,-20.00
1.map,1.scen,8,WA* (x2.0),2.0,0,True,5.6569,5.0,5,0.0203,13.14
1.map,1.scen,8,WA* (x2.0),2.0,1,True,4.0000,5.0,5,0.0138,-20.00
2.map,2.scen,4,BFS,1.0,0,True,8.0000,5.0,22,0.0253,60.00
2.map,2.scen,4,BFS,1.0,1,True,4.0000,5.0,13,0.0163,-20.00
2.map,2.scen,4,Dijkstra,1.0,0,True,8.0000,5.0,22,0.0365,60.00
2.map,2.scen,4,Dijkstra,1.0,1,True,4.0000,5.0,11,0.0196,-20.00
2.map,2.scen,4,A* (Manhattan),1.0,0,True,8.0000,5.0,22,0.0351,60.00
