MapName,Scenario,Connectivity,Algorithm,Weight,TaskID,Success,PathLength,OptimalLength,ExpandedNodes,TimeMS,Suboptimality
random512-15-2.map,random512-15-2.map.scen,4,BFS,1.0,0,True,4.0000,3.41421356,16,0.0284,17.16
random512-15-2.map,random512-15-2.map.scen,4,BFS,1.0,1,True,3.0000,3.0,18,0.0240,0.00
random512-15-2.map,random512-15-2.map.scen,4,BFS,1.0,2,True,4.0000,2.82842712,22,0.0290,41.42
random512-15-2.map,random512-15-2.map.scen,4,BFS,1.0,3,True,2.0000,1.41421356,6,0.0086,41.42
random512-15-2.map,random512-15-2.map.scen,4,BFS,1.0,4,True,2.0000,1.41421356,7,0.0098,41.42
random512-15-2.map,random512-15-2.map.scen,4,BFS,1.0,5,True,2.0000,2.0,6,0.0088,0.00
random512-15-2.map,random512-15-2.map.scen,4,BFS,1.0,6,True,2.0000,2.0,5,0.0071,0.00
random512-15-2.map,random512-15-2.map.scen,4,BFS,1.0,7,True,4.0000,3.41421356,27,0.0327,17.16
random512-15-2.map,random512-15-2.map.scen,4,BFS,1.0,8,True,1.0000,1.0,2,0.0029,0.00
random512-15-2.map,random512-15-2.map.scen,4,BFS,1.0,9,True,4.0000,3.41421356,23,0.0277,17.16
random512-15-2.map,random512-15-2.map.scen,4,Dijkstra,1.0,0,True,4.0000,3.41421356,14,0.0242,17.16
random512-15-2.map,random512-15-2.map.scen,4,Dijkstra,1.0,1,True,3.0000,3.0,22,0.0413,0.00
random512-15-2.map,random512-15-2.map.scen,4,Dijkstra,1.0,2,True,4.0000,2.82842712,19,0.0348,41.42
random512-15-2.map,random512-15-2.map.scen,4,Dijkstra,1.0,3,True,2.0000,1.41421356,6,0.0098,41.42
random512-15-2.map,random512-15-2.map.scen,4,Dijkstra,1.0,4,True,2.0000,1.41421356,10,0.0197,41.42
random512-15-2.map,random512-15-2.map.scen,4,Dijkstra,1.0,5,True,2.0000,2.0,13,0.0233,0.00
random512-15-2.map,random512-15-2.map.scen,4,Dijkstra,1.0,6,True,2.0000,2.0,5,0.0089,0.00
