MapName,Scenario,Connectivity,Algorithm,Weight,TaskID,Success,PathLength,OptimalLength,ExpandedNodes,TimeMS,Suboptimality
random512-10-0.map,random512-10-0.map.scen,4,BFS,1.0,0,True,3.0000,2.41421356,20,0.0694,24.26
random512-10-0.map,random512-10-0.map.scen,4,BFS,1.0,1,True,0.0000,0.0,1,0.0040,0.00
random512-10-0.map,random512-10-0.map.scen,4,BFS,1.0,2,True,3.0000,3.0,15,0.0578,0.00
random512-10-0.map,random512-10-0.map.scen,4,BFS,1.0,3,True,4.0000,2.82842712,29,0.0698,41.42
random512-10-0.map,random512-10-0.map.scen,4,BFS,1.0,4,True,0.0000,0.0,1,0.0021,0.00
random512-10-0.map,random512-10-0.map.scen,4,BFS,1.0,5,True,4.0000,3.41421356,38,0.0879,17.16
random512-10-0.map,random512-10-0.map.scen,4,BFS,1.0,6,True,0.0000,0.0,1,0.0027,0.00
random512-10-0.map,random512-10-0.map.scen,4,BFS,1.0,7,True,4.0000,3.41421356,27,0.1039,17.16
random512-10-0.map,random512-10-0.map.scen,4,BFS,1.0,8,True,4.0000,3.41421356,24,0.0553,17.16
random512-10-0.map,random512-10-0.map.scen,4,BFS,1.0,9,True,4.0000,2.82842712,27,0.0635,41.42
random512-10-0.map,random512-10-0.map.scen,4,Dijkstra,1.0,0,True,3.0000,2.41421356,18,0.0856,24.26
random512-10-0.map,random512-10-0.map.scen,4,Dijkstra,1.0,1,True,0.0000,0.0,1,0.0027,0.00
random512-10-0.map,random512-10-0.map.scen,4,Dijkstra,1.0,2,True,3.0000,3.0,17,0.0624,0.00
random512-10-0.map,random512-10-0.map.scen,4,Dijkstra,1.0,3,True,4.0000,2.82842712,30,0.1147,41.42
random512-10-0.map,random512-10-0.map.scen,4,Dijkstra,1.0,4,True,0.0000,0.0,1,0.0025,0.00
random512-10-0.map,random512-10-0.map.scen,4,Dijkstra,1.0,5,True,4.0000,3.41421356,34,0.1258,17.16
random512-10-0.map,random512-10-0.map.scen,4,Dijkstra,1.0,6,True,0.0000,0.0,1,0.0024,0.00
random512-10-0.map,random512-10-0.map.scen,4,Dijkstra,1.0,7,True,4.0000,3.41421356,23,0.0961,17.16
random512-10-0.map,random512-10-0.map.scen,4,Dijkstra,1.0,8,True,4.0000,3.41421356,27,0.1231,17.16
random512-10-0.map,random512-10-0.map.scen,4,Dijkstra,1.0,9,True,4.0000,2.82842712,23,0.0960,41.42
random512-10-0.map,random512-10-0.map.scen,4,A* (Octile),1.0,0,True,3.0000,2.41421356,6,0.0262,24.26
random512-10-0.map,random512-10-0.map.scen,4,A* (Octile),1.0,1,True,0.0000,0.0,1,0.0026,0.00
random512-10-0.map,random512-10-0.map.scen,4,A* (Octile),1.0,2,True,3.0000,3.0,4,0.0152,0.00
random512-10-0.map,random512-10-0.map.scen,4,A* (Octile),1.0,3,True,4.0000,2.82842712,9,0.0384,41.42
random512-10-0.map,random512-10-0.map.scen,4,A* (Octile),1.0,4,True,0.0000,0.0,1,0.0024,0.00
random512-10-0.map,random512-10-0.map.scen,4,A* (Octile),1.0,5,True,4.0000,3.41421356,8,0.0353,17.16
random512-10-0.map,random512-10-0.map.scen,4,A* (Octile),1.0,6,True,0.0000,0.0,1,0.0024,0.00
random512-10-0.map,random512-10-0.map.scen,4,A* (Octile),1.0,7,True,4.0000,3.41421356,7,0.0294,17.16
random512-10-0.map,random512-10-0.map.scen,4,A* (Octile),1.0,8,True,4.0000,3.41421356,7,0.0308,17.16
random512-10-0.map,random512-10-0.map.scen,4,A* (Octile),1.0,9,True,4.0000,2.82842712,8,0.0344,41.42
random512-10-0.map,random512-10-0.map.scen,4,WA* (x2.0),2.0,0,True,3.0000,2.41421356,4,0.0183,24.26
random512-10-0.map,random512-10-0.map.scen,4,WA* (x2.0),2.0,1,True,0.0000,0.0,1,0.0020,0.00
random512-10-0.map,random512-10-0.map.scen,4,WA* (x2.0),2.0,2,True,3.0000,3.0,4,0.0128,0.00
random512-10-0.map,random512-10-0.map.scen,4,WA* (x2.0),2.0,3,True,4.0000,2.82842712,5,0.0190,41.42
random512-10-0.map,random512-10-0.map.scen,4,WA* (x2.0),2.0,4,True,0.0000,0.0,1,0.0020,0.00
random512-10-0.map,random512-10-0.map.scen,4,WA* (x2.0),2.0,5,True,4.0000,3.41421356,5,0.0206,17.16
random512-10-0.map,random512-10-0.map.scen,4,WA* (x2.0),2.0,6,True,0.0000,0.0,1,0.0020,0.00
random512-10-0.map,random512-10-0.map.scen,4,WA* (x2.0),2.0,7,True,4.0000,3.41421356,5,0.0182,17.16
random512-10-0.map,random512-10-0.map.scen,4,WA* (x2.0),2.0,8,True,4.0000,3.41421356,5,0.0188,17.16
random512-10-0.map,random512-10-0.map.scen,4,WA* (x2.0),2.0,9,True,4.0000,2.82842712,5,0.0183,41.42
